captured_at_utc,category,market_id,slug,question,volume24hr_usd,volume_total_usd,end_date,options_json,results_pct_json
2026-03-02T16:16:27+00:00,tech,676715,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Saudi Aramco be the largest company in the world by market cap on March 31?,45104.366953000004,499741.793064,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.55, ""No"": 99.45}"
2026-03-02T16:16:27+00:00,tech,676710,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-march-31-323,Will NVIDIA be the largest company in the world by market cap on March 31?,39871.63866100002,497332.132321,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 91.0, ""No"": 9.0}"
2026-03-02T16:16:27+00:00,tech,1436014,gpt-5pt3-released-by-march-8-2026,"GPT-5.3 released by March 8, 2026?",32328.829650000003,61860.777312,2026-03-08,"[""Yes"", ""No""]","{""Yes"": 70.0, ""No"": 30.0}"
2026-03-02T16:16:27+00:00,tech,801452,will-baidu-have-the-best-ai-model-at-the-end-of-march-2026-986,Will Baidu have the best AI model at the end of March 2026?,26346.3665,250713.13761,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.3, ""No"": 99.7}"
2026-03-02T16:16:27+00:00,tech,1425724,will-mrbeasts-million-dollar-puzzle-be-solved-by-march-15,Will MrBeast's million-dollar puzzle be solved by March 15?,26269.270492000003,108120.517429,2026-02-15,"[""Yes"", ""No""]","{""Yes"": 68.5, ""No"": 31.5}"
2026-03-02T16:16:27+00:00,tech,801451,will-alibaba-have-the-best-ai-model-at-the-end-of-march-2026-712,Will Alibaba have the best AI model at the end of March 2026?,26123.994500000004,239701.756695,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T16:16:27+00:00,tech,801455,will-deepseek-have-the-best-ai-model-at-the-end-of-march-2026-113,Will DeepSeek have the best AI model at the end of March 2026?,25657.099892,358910.791804,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 2.65, ""No"": 97.35}"
2026-03-02T16:16:27+00:00,tech,801457,will-mistral-have-the-best-ai-model-at-the-end-of-march-2026-494,Will Mistral have the best AI model at the end of March 2026?,22715.450999999994,256750.269212,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T16:16:27+00:00,tech,631124,will-zai-have-the-top-ai-model-at-the-end-of-june-2026-987,Will Z.ai have the top AI model at the end of June 2026?,22080.0,111820.349002,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 3.05, ""No"": 96.95}"
2026-03-02T16:16:27+00:00,tech,1460857,anthropic-ceo-arrested,Anthropic CEO arrested?,18782.758172,75617.977345,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 4.75, ""No"": 95.25}"
